PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000021,1,0.000017,0.000004,25.4,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000024,2,0.000017,0.000007,43.3,1041666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000015,3,0.000017,0.000002,10.4,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000019,4,0.000017,0.000002,13.4,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000016,5,0.000017,0.000001,4.5,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000020,6,0.000017,0.000003,19.4,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000014,7,0.000017,0.000003,16.4,1785714.29
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000016,8,0.000017,0.000001,4.5,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000015,9,0.000017,0.000002,10.4,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000020,10,0.000017,0.000003,19.4,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000015,11,0.000017,0.000002,10.4,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000012,12,0.000017,0.000005,28.4,2083333.33
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000015,13,0.000017,0.000002,10.4,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000017,14,0.000017,0.000000,1.5,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000016,15,0.000017,0.000001,4.5,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000016,16,0.000017,0.000001,4.5,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000016,17,0.000017,0.000001,4.5,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000018,18,0.000017,0.000001,7.5,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000015,19,0.000017,0.000002,10.4,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O2,25,clock,0.000015,20,0.000017,0.000002,10.4,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000062,1,0.000143,0.000081,56.6,403225.81
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000023,2,0.000143,0.000120,83.9,1086956.52
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000022,3,0.000143,0.000121,84.6,1136363.64
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000018,4,0.000143,0.000125,87.4,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000022,5,0.000143,0.000121,84.6,1136363.64
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000020,6,0.000143,0.000123,86.0,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000019,7,0.000143,0.000124,86.7,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000015,8,0.000143,0.000128,89.5,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000019,9,0.000143,0.000124,86.7,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000027,10,0.000143,0.000116,81.1,925925.93
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.002396,11,0.000143,0.002253,1577.9,10434.06
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000022,12,0.000143,0.000121,84.6,1136363.64
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000023,13,0.000143,0.000120,83.9,1086956.52
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000028,14,0.000143,0.000115,80.4,892857.14
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000025,15,0.000143,0.000118,82.5,1000000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000022,16,0.000143,0.000121,84.6,1136363.64
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000021,17,0.000143,0.000122,85.3,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000026,18,0.000143,0.000117,81.8,961538.46
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000023,19,0.000143,0.000120,83.9,1086956.52
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O2,25,clock,0.000023,20,0.000143,0.000120,83.9,1086956.52
